stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"	
energi renew sourc	renewable energy sources	renewable energy sources|&|renewable sources of energy|&|Renewable Energy Sources	3	15,8856944632	78,9362519638	211,799765591	7	354	x	
interest renew	renewed interest	renewed interest	2	4,7209181291	28,5563577056	134,668037374	3	174	x	
renov	renovation	renovation|&|Renovation	1	4,9642795197	30,8866442863	152,002103409	4	260	x	
replac sale	replacement sales	replacement sales|&|sales for replacement	2	4,7209181291	33,7428163761	137,963895537	1	62	x	
agenda research	research agenda	research agenda|&|research agendas	2	18,8836725165	93,4795961407	144,033321953	10	624	x	
aim research	research aim	research aim|&|aim of this research|&|aim of the research	2	9,4418362583	52,2895835152	182,059841728	5	231	x	
practic research	research and practice	research and practice|&|practice and research	3	9,4418362583	50,5681332296	279,15295033	6	222	x	
area research	research area	research area|&|research in this area|&|research in the area|&|research areas	2	7,8681968819	43,5746529293	143,367635671	6	292	x	
design research	research design	research design|&|design research	2	7,8681968819	45,330390324	180,710392661	4	249	x	
field research	research field	research field|&|field research|&|field of research|&|researchers in the field	2	14,1627543874	70,1096971055	169,554777155	9	565	x	
group research	research group	research group	2	4,7209181291	28,5563577056	232,087107255	3	147	x	
limitations/impl research	Research limitations/implications	Research limitations/implications	2	9,4418362583	50,5681332296	346,310137175	6	428	x	
method research	research method	research method|&|research with the method	2	6,2945575055	38,0751436075	174,8497496	3	109	x	
methodolog research	research methodology	research methodology	2	6,2945575055	40,627367047	171,969879394	2	90	x	
programm research	research programme	research programme|&|Research Programme	2	11,0154756347	57,2981123768	192,006863773	7	399	x	
project research	research project	research project|&|research projects	2	23,6045906457	106,420213925	286,290674916	14	727	x	
question research	research questions	research questions|&|research question	2	11,0154756347	57,2981123768	243,736060165	10	633	x	
research result	research results	research results|&|results of the research|&|results for research	2	12,589115011	67,4241776394	134,439695243	6	312	x	
build residenti	residential buildings	residential buildings	2	9,4418362583	52,2895835152	163,168082013	5	362	x	
locat residenti	residential location	residential location	2	7,8681968819	45,330390324	349,215770224	4	170	x	
reloc residenti	residential relocation	residential relocation	2	4,7209181291	30,4705252852	248,314404934	2	84	x	
fraction residu	residual fraction	residual fraction	2	7,8681968819	56,2380272935	107,691983303	1	46	x	
residu	residues	residues|&|residue|&|residuals	1	17,8714062711	94,8165154989	105,263468232	12	778	x	
resili	resilience	resilience	1	7,9428472316	46,1980834466	114,398103282	6	377	x	
base resourc	resource base	resource base|&|resource bases	2	6,2945575055	36,2643122592	104,901297465	4	258	x	
conserv resourc	resource conservation	resource conservation|&|resources conservation|&|Resource Conservation	2	12,589115011	67,4241776394	116,912600347	8	540	x	
consumpt resourc	resource consumption	resource consumption|&|resources consumption|&|consumption of resources	2	37,7673450331	156,801676607	324,849184347	24	1527	x	
deplet resourc	resource depletion	resource depletion	2	15,7363937638	77,8996634506	106,289532681	9	680	x	
effici resourc	resource efficiency	resource efficiency|&|efficiency resource|&|resource efficient	2	26,7518693984	118,763887494	178,401945599	15	989	x	
extract resourc	resource extraction	resource extraction	2	12,589115011	67,4241776394	130,798611356	6	444	x	
flow resourc	resource flows	resource flows	2	15,7363937638	76,2416688891	281,145508834	11	789	x	
manag resourc	resource management	resource management|&|resources management|&|resources managers|&|resource managers	2	44,0619025386	176,777112291	201,343088107	30	1800	x	
optim resourc	resource optimization	resource optimization|&|resources optimization|&|optimization of this resource	2	6,2945575055	36,2643122592	114,088509031	4	225	x	
product resourc	resource productivity	resource productivity|&|resource for the production|&|resource production	2	23,6045906457	112,112745555	257,529981575	13	858	x	
recoveri resourc	resource recovery	resource recovery	2	9,4418362583	54,3964683888	164,72593374	4	193	x	
resourc scarciti	resource scarcity	resource scarcity	2	4,7209181291	30,4705252852	128,210581637	2	91	x	
resourc sustain	resource sustainability	resource sustainability|&|sustainable resource|&|resource sustainable	2	9,4418362583	52,2895835152	146,299234259	5	318	x	
resourc use	resource use	resource use|&|resources use|&|Resource use|&|use of resources|&|use of the resource	2	69,2401325607	250,728970002	343,391338549	40	2587	x	
resourc util	resource utilization	resource utilization|&|resources utilization	2	6,2945575055	36,2643122592	161,853580014	6	300	x	
resourc valu	resource value	resource value	2	6,2945575055	44,9904218348	223,667417226	1	46	x	
environ resourc	resources and environment	resources and environment	3	4,7209181291	30,4705252852	256,159829913	2	97	x	
implic result	results and implications	results and implications|&|Implications of the results|&|Implications of these results|&|implications of these results	3	6,2945575055	36,2643122592	274,574629835	4	156	x	
result survey	results of a survey	results of a survey|&|Survey results	4	6,2945575055	36,2643122592	220,997251737	4	152	x	
home return	returning home	returning home	2	4,7209181291	33,7428163761	192,44253286	1	36	x	
area rich	rich area	rich area	2	4,7209181291	28,5563577056	129,225324217	3	187	x	
rich	richness	richness	1	7,9428472316	44,9736881461	399,261390183	19	931	x	
problem right	right problem	right problem	2	4,7209181291	33,7428163761	129,221336237	1	69	x	
rio	Rio	Rio	1	8,9357031355	55,5959597153	116,675384656	4	240	x	
assess risk	risk assessment	risk assessment	2	12,589115011	67,4241776394	147,962201782	8	481	x	
manag risk	risk management	risk management	2	12,589115011	72,5286245184	165,29170269	4	211	x	
risk societi	risk society	risk society	2	6,2945575055	40,627367047	148,001729993	2	72	x	
inform regard risk societi	risks of the information society with regard	risks of the information society with regard	7	5,9571354237	34,648562585	416,541504196	3	86	x	
basin manag river	river basin management	river basin management	3	5,9571354237	34,648562585	126,386175288	3	201	x	
robot	robots	robots|&|robot	1	8,9357031355	50,5953991644	279,018775643	7	190	x	
industri rod	rod industry	rod industry	2	7,8681968819	56,2380272935	142,947649057	1	61	x	
ict role	role of ICT	role of ICT|&|role of ICTs	3	7,8681968819	43,5746529293	218,571749969	5	266	x	
role transit	role transitions	role transitions	2	6,2945575055	40,627367047	223,676878677	2	85	x	
romania	Romania	Romania	1	8,9357031355	51,9728438774	113,150696517	6	220	x	
area rural	rural areas	rural areas|&|Rural areas	2	34,6200662803	158,64860333	316,903386584	13	678	x	
commun rural	rural communities	rural communities	2	9,4418362583	52,2895835152	213,150991983	5	261	x	
develop rural	rural development	rural development	2	6,2945575055	38,0751436075	121,546382982	3	177	x	
safeti	safety	safety|&|Safety|&|SAFETY	1	33,7571007343	150,981265444	345,191309385	30	1377	x	
salmon	salmon	salmon	1	7,9428472316	51,7036456108	177,214792662	4	238	x	
salmonid	salmonid	salmonid|&|salmonids	1	4,9642795197	37,7685969915	129,649391846	1	70	x	
salt	salt	salt|&|salts	1	4,9642795197	30,8866442863	188,216176094	4	182	x	
diagram sankey	Sankey diagrams	Sankey diagrams|&|Sankey diagram|&|sankey diagram	2	22,0309512693	133,263002626	204,517898443	3	190	x	
satellit	satellite	satellite|&|Satellite	1	5,9571354237	34,648562585	147,706735607	11	604	x	
offic satellit	satellite office	satellite office|&|satellite offices	2	11,0154756347	58,9961554345	300,472276833	6	315	x	
analysi scenario	scenario analysis	scenario analysis|&|Scenario Analysis	2	25,1782300221	115,380802422	232,086536243	13	857	x	
delay schedul	schedule delay	schedule delay	2	6,2945575055	44,9904218348	114,817208824	1	54	x	
scienc technolog	science and technology	science and technology|&|Science and Technology	3	12,589115011	72,5286245184	143,046799752	4	254	x	
ltd scienc	Science Ltd	Science Ltd	2	6,2945575055	36,2643122592	176,705820357	4	211	x	
research scientif	scientific research	scientific research	2	6,2945575055	36,2643122592	104,358251358	4	225	x	
background scope	Scope and Background	Scope and Background	3	6,2945575055	36,2643122592	104,795881347	4	373	x	
scrap tire	scrap tires	scrap tires	2	17,3100331402	104,706644921	161,093819508	3	178	x	
product seafood	seafood products	seafood products|&|seafood production	2	4,7209181291	33,7428163761	187,085204425	3	207	x	
law second thermodynam	second law of thermodynamics	second law of thermodynamics	4	5,9571354237	34,648562585	137,540210688	3	188	x	
part second	second part	second part	2	20,4573118929	93,746901968	173,378922849	13	711	x	
segment	segmentation	segmentation	1	11,9142708474	63,2110103326	155,446572419	12	596	x	
and/or peer-review respons select	Selection and/or peer-review under responsibility	Selection and/or peer-review under responsibility	5	11,9142708474	61,0387819236	234,064544418	8	441	x	
self-efficaci	self-efficacy	self-efficacy	1	5,9571354237	38,7777342081	244,152311657	3	139	x	
analysi sensit	sensitivity analysis	sensitivity analysis|&|Sensitivity analysis	2	22,0309512693	104,638562518	181,020950582	11	800	x	
network sensor	sensor network	sensor network|&|sensor networks|&|Sensor Network|&|Sensor Networks	2	11,0154756347	61,004514101	279,14248977	8	383	x	
node sensor	sensor nodes	sensor nodes	2	6,2945575055	38,0751436075	188,19416696	3	144	x	
environment problem seriou	serious environmental problems	serious environmental problems	3	5,9571354237	34,648562585	149,281535924	3	169	x	
economi servic	service economy	service economy	2	7,8681968819	50,7842088087	118,845796404	2	104	x	
industri servic	service industries	service industries|&|services industry	2	11,0154756347	63,4625464536	239,303365413	4	213	x	
life servic	service life	service life	2	4,7209181291	30,4705252852	193,053472411	2	117	x	
sector servic	service sector	service sector|&|service sectors|&|services sectors	2	15,7363937638	77,8996634506	247,291578009	9	538	x	
ili sever symptom	severe ILI symptoms	severe ILI symptoms	3	7,9428472316	54,9241930222	306,381269929	1	25	x	
short term	short term	short term	2	7,8681968819	43,5746529293	201,260324739	5	378	x	
effect side	side effects	side effects	2	6,2945575055	38,0751436075	193,994866435	3	144	x	
design sidewalk	sidewalk design	sidewalk design	2	6,2945575055	40,627367047	124,994706947	2	226	x	
sidewalk system	sidewalk system	sidewalk system	2	6,2945575055	40,627367047	124,994706947	2	226	x	
chang signific	significant change	significant change	2	4,7209181291	28,5563577056	127,376539975	3	209	x	
contribut signific	significant contributions	significant contributions|&|significant contribution	2	11,0154756347	61,004514101	223,238864664	5	344	x	
impact signific	significant impacts	significant impacts|&|significant impact	2	9,4418362583	50,5681332296	153,509394049	8	540	x	
implic signific	significant implications	significant implications	2	4,7209181291	28,5563577056	133,651507742	3	212	x	
reduct signific	significant reduction	significant reduction|&|significant reductions	2	11,0154756347	57,2981123768	141,373602598	7	429	x	
role signific	significant role	significant role|&|significant roles	2	11,0154756347	57,2981123768	133,856055511	7	421	x	
model simul	simulation model	simulation model|&|model simulation	2	6,2945575055	36,2643122592	152,514704742	4	192	x	
result simul	simulation results	simulation results	2	9,4418362583	52,2895835152	172,327124813	5	270	x	
compani small	small companies	small companies|&|small company	2	4,7209181291	28,5563577056	180,559308731	3	163	x	
develop island small state	small island developing states	small island developing states|&|Small island developing states	4	5,9571354237	37,0639731435	125,8436375	2	117	x	
citi smart	smart cities	smart cities|&|Smart Cities|&|smart city|&|Smart City	2	28,3255087748	147,338003255	281,812182166	7	372	x	
environ smart	smart environments	smart environments|&|Smart Environments	2	6,2945575055	40,627367047	189,947916932	2	134	x	
grid smart	Smart Grid	Smart Grid|&|smart grids|&|smart grid	2	12,589115011	72,5286245184	212,877559357	4	221	x	
sme	SMEs	SMEs|&|SME|&|smes|&|sme	1	52,6213629093	245,406736023	240,13108595	19	911	x	
