stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
ga greenhous inventori	greenhouse gas inventory	greenhouse gas inventory|&|greenhouse gas inventories	3	5,95713542369	37,0639731435	380,324845511	3,0	55,0	 
sustain transport	sustainable transport	sustainable transport|&|Transport Sustainability|&|sustainable transportation|&|Sustainability in Transport|&|sustainability of transport|&|transport sustainability|&|sustainability within transport	2	20,4573118929	107,408895734	262,790861183	11,0	332,0	 
laboratori	laboratory	laboratory|&|Laboratory|&|laboratories	1	38,721380254	177,326500832	178,369025711	50,0	2663,0	 
emiss rate	emission rates	emission rates	2	12,589115011	77,6330713973	179,939065874	4,0	257,0	 
educ environment	environmental education	environmental education|&|Environmental Education	2	26,7518693984	133,439052191	392,543917374	13,0	628,0	 
nigerian	Nigerian	Nigerian	1	5,95713542369	39,4793837021	175,008236648	6,0	367,0	 
combust	combustion	combustion|&|Combustion	1	48,6499392935	208,020703383	304,630447062	63,0	3729,0	 
chemic risk	chemical risks	chemical risks|&|Chemical risks	2	6,29455750551	43,1795904865	221,180664238	3,0	162,0	 
develop support sustain	support sustainable development	support sustainable development|&|support of sustainable development|&|support for sustainable development|&|support the sustainable development	3	13,8999826553	74,7051784383	294,680598821	7,0	313,0	 
art state	state of the art	state of the art	4	11,0154756347	61,7645033959	160,197876182	7,0	441,0	 
school secondari	secondary schools	secondary schools	2	9,44183625827	60,9410505705	304,534824972	3,0	176,0	 
extract	extraction	extraction|&|extractive|&|extractable|&|extracts|&|extractions	1	75,4570487001	289,690931162	178,897799833	95,0	5144,0	 
network neural	neural networks	neural networks|&|neural network	2	15,7363937638	82,6222274877	261,891769312	10,0	459,0	 
treatment wast	waste treatment	waste treatment|&|treatment of waste	2	25,1782300221	123,723788611	376,623102592	16,0	1018,0	 
electron properti	electronic properties	electronic properties	2	9,44183625827	56,1179186744	269,363944889	5,0	262,0	 
network	network	network|&|networks|&|Network|&|Networks|&|NETWORKS	1	226,3711461	675,287626387	314,512443364	278,0	13639,0	 
tianjin	Tianjin	Tianjin	1	4,96427951974	34,3276206389	160,639631166	3,0	182,0	 
modern societi	modern society	modern society|&|modern societies	2	14,1627543874	75,8521998443	222,366180434	9,0	510,0	 
diesel	diesel	diesel|&|Diesel	1	49,6427951974	234,199836694	273,477115294	41,0	2465,0	 
morpholog	morphology	morphology	1	7,94284723159	47,1336161053	233,866782842	8,0	390,0	 
environment impact total	total environmental impact	total environmental impact|&|total environmental impacts	3	25,8142535027	127,070529965	206,820700831	11,0	753,0	 
divers rang	diverse range	diverse range	2	6,29455750551	38,8165356986	168,581494145	4,0	186,0	 
cement industri	cement industry	cement industry	2	7,86819688189	48,5206696233	199,645113726	8,0	392,0	 
import paramet	important parameters	important parameters	2	6,29455750551	38,8165356986	156,900508951	4,0	318,0	 
sme	SMEs	SMEs|&|SME|&|smes	1	14,8928385592	86,6214064624	232,012570841	9,0	416,0	 
smc	SMC	SMC|&|smc	1	5,95713542369	41,1931447667	179,417769809	3,0	109,0	 
dsc	DSC	DSC	1	7,94284723159	48,1942355575	165,010639026	7,0	346,0	 
combin cycl	combined cycle	combined cycle|&|combined cycles	2	12,589115011	70,588003881	177,744725261	8,0	484,0	 
construct road	road construction	road construction	2	11,0154756347	67,9289374726	297,402229074	4,0	121,0	 
energi solar	solar energy	solar energy|&|Solar Energy	2	22,0309512693	109,890984158	157,943791072	13,0	745,0	 
eco-design	eco-design	eco-design|&|Eco-design	1	38,721380254	179,908882904	255,173044603	33,0	1304,0	 
local scale	local scales	local scales	2	7,86819688189	48,5206696233	216,031842974	4,0	223,0	 
convers effici	conversion efficiency	conversion efficiency|&|efficiency of conversion	2	9,44183625827	54,3964683888	185,786827207	10,0	578,0	 
dematerialis	dematerialisation	dematerialisation|&|Dematerialisation	1	26,8071094066	133,204925189	219,984759234	23,0	852,0	 
ineffici	inefficiencies	inefficiencies|&|inefficiency	1	13,8999826553	75,7352779659	217,291533203	13,0	744,0	 
emiss ghg	GHG emissions	GHG emissions|&|ghg emissions|&|GHG emission	2	110,154756347	425,64867484	879,145906181	44,0	2826,0	 
demand manag strategi	demand management strategies	demand management strategies	3	5,95713542369	37,0639731435	176,512834635	3,0	215,0	 
challeng task	challenging task	challenging task	2	6,29455750551	38,8165356986	157,730796269	4,0	178,0	 
applic ecolog industri	application of industrial ecology	application of industrial ecology|&|application of the industrial ecology	4	7,94284723159	47,1336161053	252,174153255	4,0	249,0	 
benefit potenti	potential benefits	potential benefits	2	6,29455750551	38,8165356986	156,159472145	5,0	334,0	 
field test	field test	field test|&|field tests	2	11,0154756347	63,4625464536	199,890609942	6,0	316,0	 
select site	site selection	site selection	2	14,1627543874	75,8521998443	351,917859588	10,0	311,0	 
environment impact product	environmental impacts of products	environmental impacts of products|&|environmental impact of the products|&|environmental impacts of a product|&|environmental impact of products|&|environmental impact of a product|&|environmental impact of production|&|environmental impacts of production|&|products for all environmental impacts|&|environmental impacts of the production|&|environmental impact of these products|&|environmental impact per production|&|environmental impact of the production|&|environmental impacts of the product	4	45,6713715817	191,129936066	356,315434886	23,0	1229,0	 
accumul	accumulation	accumulation	1	27,7999653106	135,609428658	163,248656309	29,0	1889,0	 
renew	renewables	renewables|&|renewability|&|Renewables	1	5,95713542369	37,0639731435	190,752161761	9,0	538,0	 
iso	ISO	ISO|&|iso	1	29,7856771185	137,381667716	233,756270815	30,0	1506,0	 
respir root	root respiration	root respiration	2	7,86819688189	50,7842088087	307,862409003	3,0	150,0	 
model regress	regression model	regression model|&|regression models|&|Regression models	2	9,44183625827	54,3964683888	166,666084389	7,0	476,0	 
eutroph	eutrophication	eutrophication|&|Eutrophication|&|eutrophic	1	35,7428125422	161,451347369	232,972200765	37,0	2457,0	 
array pv	PV arrays	PV arrays|&|PV Array	2	14,1627543874	97,1540785945	189,302742055	2,0	132,0	 
capita incom	capita income	capita income|&|capita incomes	2	11,0154756347	65,4709051201	208,801873635	5,0	259,0	 
health newborn	newborn health	newborn health	2	6,29455750551	43,1795904865	244,772406007	2,0	132,0	 
assess comprehens	comprehensive assessment	comprehensive assessment	2	9,44183625827	54,3964683888	159,659076601	6,0	305,0	 
wast	waste	waste|&|wastes|&|Waste|&|WASTE	1	251,192543699	689,694128837	441,869622876	465,0	21953,0	 
capac	capacity	capacity|&|capacities|&|Capacity	1	124,106987994	412,306922798	157,101585095	166,0	9428,0	 
demand tourism	tourism demand	tourism demand	2	6,29455750551	40,627367047	199,715367214	3,0	118,0	 
cycl materi	material cycles	material cycles|&|materials cycles	2	17,3100331402	92,7082442542	236,344606305	9,0	502,0	 
instruct	instruction	instruction|&|instructions|&|Instruction	1	21,8428298869	120,760938908	276,393489611	15,0	659,0	 
embodi emiss	embodied emissions	embodied emissions	2	7,86819688189	46,7649322286	215,364155233	5,0	119,0	 
instrument polici	policy instruments	policy instruments|&|policy instrument	2	33,046426904	155,971310012	194,656901356	19,0	843,0	 
develop technolog	technology development	technology development|&|technological development|&|Technology Development|&|technology for development|&|Technology for Development|&|developments in technology|&|technology developments	2	22,0309512693	108,258315034	184,631383791	14,0	855,0	 
e-wast	e-waste	e-waste|&|E-waste	1	17,8714062711	96,049515135	180,244210993	18,0	692,0	 
mani studi	many studies	many studies|&|Many studies	2	11,0154756347	61,7645033959	165,414816472	7,0	449,0	 
chang climat	climate change	climate change|&|Climate Change|&|climate changes|&|changing climate|&|Climate change|&|CLIMATE CHANGE|&|change of the climate	2	231,324988328	635,902101731	2337,09967837	155,0	7971,0	 
fuel wood	wood fuel	wood fuel|&|wood fuels	2	12,589115011	77,6330713973	165,430899353	5,0	302,0	 
bind site	binding site	binding site|&|binding sites	2	6,29455750551	38,8165356986	184,938190038	4,0	217,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	15,7363937638	84,2802220493	159,572326121	11,0	691,0	 
delucchi jacobson	Jacobson and Delucchi	Jacobson and Delucchi	3	6,29455750551	43,1795904865	193,609591114	2,0	75,0	 
altern sourc	alternative sources	alternative sources|&|alternative source	2	7,86819688189	46,7649322286	205,408376023	6,0	446,0	 
analysi result	analysis results	analysis results|&|analysis result|&|results of analysis|&|Analysis results|&|results of this analysis|&|Analysis of results|&|analysis of the results|&|result of analysis	2	23,6045906457	114,362503334	158,789678732	16,0	864,0	 
wastewat	wastewater	wastewater|&|Wastewater|&|wastewaters	1	69,4999132764	297,172433405	569,101866135	73,0	4113,0	 
polici process	policy processes	policy processes|&|policy process	2	9,44183625827	58,224803548	238,13659786	4,0	167,0	 
energi manag	energy management	energy management|&|managing energy|&|Energy Management	2	18,8836725165	97,3468667624	190,080269782	15,0	792,0	 
level pollut	pollution levels	pollution levels|&|pollutant levels	2	11,0154756347	61,7645033959	205,622832358	9,0	610,0	 
agreement voluntari	voluntary agreements	voluntary agreements	2	6,29455750551	40,627367047	192,297443095	3,0	106,0	 
ton	tons	tons|&|ton	1	24,8213975987	124,548933757	204,538278689	39,0	2759,0	 
effici thermal	thermal efficiency	thermal efficiency|&|thermal efficiencies	2	15,7363937638	86,1337022771	163,541138019	10,0	651,0	 
design strategi	design strategies	design strategies|&|design strategy|&|design of strategies|&|strategy design	2	17,3100331402	90,8844502365	212,955811614	10,0	608,0	 
activ model	activity model	activity model	2	6,29455750551	43,1795904865	189,558355625	2,0	57,0	 
climat impact	climate impact	climate impact|&|climate impacts	2	15,7363937638	88,2350048512	188,663716682	7,0	474,0	 
econom impact	economic impacts	economic impacts|&|economic impact	2	9,44183625827	56,1179186744	154,162924257	5,0	209,0	 
crystal structur	crystal structure	crystal structure|&|crystal structures|&|Crystal structures	2	29,8991481512	139,407911651	441,773020541	18,0	565,0	 
urban	Urban	Urban|&|urbanization|&|Urbanization|&|urbanism	1	78,435616412	297,587050344	313,739741508	91,0	5412,0	 
incub	incubation	incubation	1	12,9071267513	71,3587366275	234,337339409	12,0	736,0	 
compani construct	construction companies	construction companies	2	7,86819688189	50,7842088087	185,669694529	3,0	158,0	 
ruthenium	ruthenium	ruthenium	1	7,94284723159	48,1942355575	199,890797482	7,0	238,0	 
tool	tool	tool|&|tools|&|Tool|&|Tools|&|TOOLS	1	273,035373586	730,642448182	437,372117369	310,0	17539,0	 
propon	proponents	proponents	1	6,94999132764	44,5084352394	156,938515851	5,0	325,0	 
anthropogen co2 emiss	anthropogenic CO2 emissions	anthropogenic CO2 emissions	3	7,94284723159	47,1336161053	172,449402322	4,0	241,0	 
n residu	residue N	residue N	2	11,0154756347	83,19962923	165,826084775	1,0	49,0	 
compressor	compressor	compressor|&|compressors	1	13,8999826553	80,8466460316	190,921638618	9,0	507,0	 
destruct exergi	exergy destruction	exergy destruction	2	7,86819688189	48,5206696233	193,511967783	4,0	170,0	 
conserv	conservation	conservation|&|Conservation	1	63,5427778527	260,621611994	219,827614239	99,0	5356,0	 
electron microscopi transmiss	transmission electron microscopy	transmission electron microscopy	3	7,94284723159	47,1336161053	266,527312779	4,0	184,0	 
system videoconferenc	videoconferencing system	videoconferencing system	2	6,29455750551	38,8165356986	186,228951327	4,0	147,0	 
symptom	symptoms	symptoms	1	8,93570313554	55,5959597153	157,591489855	8,0	336,0	 
toronto	Toronto	Toronto	1	7,94284723159	48,1942355575	182,344912176	9,0	586,0	 
scenario	scenarios	scenarios|&|scenario|&|Scenario|&|Scenarios	1	170,771215479	535,93813327	325,659200219	207,0	12256,0	 
cycl ga greenhous life	life cycle greenhouse gas	life cycle greenhouse gas|&|Life Cycle Greenhouse Gas	4	7,94284723159	47,1336161053	437,478129411	10,0	760,0	 
tree	trees	trees|&|tree|&|Tree	1	42,6928038698	204,697542191	167,616683585	39,0	1865,0	 
capac carri	carrying capacity	carrying capacity|&|carrying capacities	2	18,8836725165	97,3468667624	440,256843859	13,0	563,0	 
project	project	project|&|projects|&|Project|&|projections|&|projection|&|Projects|&|Projections	1	338,563863247	866,119556169	331,874273718	298,0	16246,0	 
matter	matter	matter|&|matters|&|Matter	1	44,6785156777	188,960976227	200,751253459	101,0	5701,0	 
question research	research questions	research questions|&|research question	2	18,8836725165	97,3468667624	156,063507404	11,0	739,0	 
adsorpt capac	adsorption capacities	adsorption capacities|&|adsorption capacity	2	9,44183625827	60,9410505705	210,358655618	3,0	121,0	 
iron	iron	iron|&|Iron|&|IRON	1	54,6070747172	232,207694616	186,80574687	75,0	3546,0	 
anthropogen emiss	anthropogenic emissions	anthropogenic emissions|&|anthropogenic emission	2	11,0154756347	63,4625464536	182,110073045	6,0	408,0	 
develop product	product development	product development|&|Product Development|&|products for development|&|products development|&|products in development	2	34,6200662803	161,419687175	364,269340133	32,0	1552,0	 
human manag resourc	human resource management	human resource management	3	5,95713542369	37,0639731435	174,916790187	3,0	74,0	 
cycl emiss ga greenhous life	Life Cycle Greenhouse Gas Emissions	Life Cycle Greenhouse Gas Emissions|&|life cycle greenhouse gas emissions	5	11,9142708474	65,8696030408	288,870355921	6,0	470,0	 
global system	global system	global system	2	6,29455750551	40,627367047	174,181814883	3,0	185,0	 
mine	mine	mine|&|mines|&|Mine|&|Mines	1	34,7499566382	162,676111628	165,675953519	54,0	2330,0	 
public system transport	public transportation system	public transportation system|&|public transportation systems	3	25,8142535027	122,758153474	330,992298961	13,0	824,0	 
g/m mu	mu g/m	mu g/m	2	15,7363937638	93,5298644573	191,170658789	5,0	284,0	 
rat	rats	rats|&|rat	1	29,7856771185	156,105202279	180,338690799	18,0	843,0	 
group metal platinum	platinum group metals	platinum group metals|&|Platinum Group Metal	3	5,95713542369	37,0639731435	191,083703098	5,0	333,0	 
altern solut	alternative solutions	alternative solutions	2	6,29455750551	38,8165356986	252,77981296	4,0	234,0	 
commun microbi soil	soil microbial community	soil microbial community|&|soil microbial communities	3	9,92855903949	58,9170201316	209,147633971	4,0	229,0	 
new product	new products	new products|&|new product|&|New Product	2	26,7518693984	131,456525399	232,776943071	16,0	870,0	 
chines citi	Chinese cities	Chinese cities|&|Chinese Cities	2	20,4573118929	109,564288664	220,710349073	9,0	557,0	 
tutor	tutor	tutor|&|tutors	1	4,96427951974	32,8994864184	161,251087667	4,0	236,0	 
area industri	industrial areas	industrial areas|&|industrial area|&|areas industrial	2	23,6045906457	121,683583453	205,721888971	11,0	720,0	 
eco-innov	eco-innovation	eco-innovation|&|eco-innovations|&|ECO-INNOVATION	1	24,8213975987	128,582880724	156,522067767	17,0	673,0	 
